label	text
fear	 i used to scare for darkness
fear	A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.
joy	I am very happy to have been first over 300 students during this years at my enginering school
anger	I once lost my job and got mad.
sad	One year during christmas, i did not get a single gift. It was a rough day for me.
fear	I was home alone. I heard a loud noise come from the kitchen. 
sad	I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. 
anger	I am so upset and mad. I cant believe what has happened!
fear	Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.
anger	I have someone always asking me questions about how to use mobile.
anger	I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.
sad	A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.
joy	I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.
surprise	when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!
anger	I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p
anger	I ordered for French fries ,bit was served burger,that pissed me off!
fear	I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.
anger	My mom took away my game system, and would not give it back ever again.
sad	I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.
fear	Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live
anger	I am so annoyed by my new manager at work. He always lies to us. 
trust	Lending my vehicle to a friend, which I never do.
disgust	Had to wait in line forever to check out at walmart , horrible
anger	I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. 
anger	Recently my manager lied to us. He changed our money and took the bonus away. 
sad	I was in a situation where I missed out on making some money, that caused me not to be happy.
anticipating	We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.
anticipating	I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner
surprise	I woke up early today for work. My children were still up watching cartoons!
sad	When I realized all the chocolate was gone, after a long day. 
joy	My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!
fear	I am concerned about the financial situation of my employer.
anger	My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.
anticipating	I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.
disgust	I was getting in a Taxi and noticed someone had thrown up in the backseat.
anger	My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.
joy	I am happy to have a good vacation
anger	i am angry against a friend that suppose to help me.
trust	I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.
fear	I thought my company was going to have a lay off. it was a tough few weeks.
surprise	The other day I was surprised with a big bonus from work. 
anger	My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.
anticipating	Today is my birthday. I can't wait to see who calls me. Or my gifts.
anger	when i moved into my apartment it was full of bugs! 
fear	I was driving down a road at night and my car died. I sat in a car with not lights for hours.
anger	I am annoyed by a coworker making joke about me.
anger	My next door neighbors are always arguing in our shared hallway. Now they have a baby and the scream while she cries. It is so annoying.
anger	I was drivng home and this guy cut me off. I had to swerve in order to not hit him.
fear	I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride.
fear	I've lost my job and am behind on my mortgage. It scares me that I could lose my home.
surprise	i applied for 200+ jobs and still didn't hear from none of them!
sad	No one ever visits me anymore. I am always by myself in this apartment.
sad	not living near family, being in a new place. 
disgust	I saw a snake outside my apartment today
sad	I just found out they are not making a sequel to a movie I like.
anger	missing money from my paycheck, wrong hours and bonus again! 
sad	A few years ago when my grandmother died unexpectedly.
disgust	My friend called someone a bad name.
anger	My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.
anticipating	I cant wait to relocate again. 
surprise	My brother usually doesn't do anything for me unless asked. After 3 decades, he actually took me out for my birthday.
fear	I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision.
sad	when i had to say goodbye to my dad
joy	I turn 29 today! It is a great day since its my birthday
sad	I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.
fear	I got pulled over and almost got a ticket.
sad	I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.
sad	My mom has arthritis in her neck, and the pain seems to be traveling down now.
anticipating	in a hurry to go on vacation! 
fear	I once saw a snake in the woods and got very scared.
anticipating	Had a interview yesterday. I think it went pretty well. I hope I get the job.
sad	My birthday was last weekend, and no one wished me a Happy Birthday.
surprise	I was thrown a surprise party for my 30th birthday.
sad	I was told my cat only has a few weeks to live.
sad	when my dog died 
joy	Went out with my friends last night after not seeing each other for a year. I was in another country for work and just got back.
sad	Just moved here for work, and I don't know anyone. My coworkers have families of their own.
anticipating	waiting for christmas! 
surprise	I was thrown a party yesterday and had no idea it was happening.
surprise	When I was a child and found out my friends could come over. 
fear	When i was moving and lost my insurance to my car. 
anger	My child lied to me, and went somewhere he shouldnt have went. 
fear	There was once a mouse in my  kitchen. I almost died.
fear	I think my job will lay us off. 
sad	I lost my cat to old age and cried all night about it.
sad	I lost my wallet and had to get all new cards
fear	Our lights went out last week during a storm. Its was only for 15 minutes but I was so scared.
sad	I wish I had someone to spend my days with. I feel a alone.
fear	when my daughter choked on a piece of food 
sad	I was sad when my grandma died.
fear	When I was little, I was afraid of the dark.
surprise	I was surprised when I was accepted into Harvard.
anger	my wife keeps giving our son a stick and he keeps hurting himslef.
fear	I am afraid of clowns.
fear	I was attavked by seagulls on the balcony of a hotel last weekend. I was eating crackers.
surprise	I got in my car and my son left a note on my seat.
fear	I am terrified of ghosts.
anger	Some left their garbage outside of the dumpster in my apartment complex. Now at night there are a bunch of raccoons outside.
anger	My friend is annoying me.
joy	I was joyful when my son was born.
anticipating	I can't wait for HAlloween. It is my favorite holifay. I love dressing up with the kids.
surprise	Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion.
trust	I let my new neighbors borrow our lawnmower. It came back broken.
anger	I ordered $20 in Krystals the other day. It was terrible.
disgust	I am disgusted that the criminal got away.
joy	The summer is almost over. I couldn't be any happier!
joy	I was content getting a B on my exam.
anticipating	I'm doing a drink a paint session this weekend. I can't wait. It's goin to be fun!
surprise	I was surprised when Trump won the election.
fear	When I lost my job. 
anger	Lies
sad	 I was devastated when the Falcons blew the Super Bowl.
sad	I let my cat out for the evening , the first time I left her outside at night and she didn't come back. 
joy	I've been in my crappy apartment so long. I think just used to it now.
anticipating	I went on my first date ever only about a month ago. Even though I knew this girl really well beforehand, I was still really worried that it would be awkward and that I might mess it up.
fear	I am scared of how I will die.
sad	I am always alone in the summer.
anticipating	We tried for a baby for a long time, almost 4 years.  Waiting those 9 months to meet her were so hard!
joy	I passed all of my classes last semester. I had been struggling in college for a while.
anticipating	I have a job interview coming up next week. I'm a little nervous about it.
anger	MY ex didn't show up to court again. He is always wasting my time.
joy	I am ok with being fat.
surprise	I am shocked it hasn't rained today.
fear	We've had some big rain storms where I live this spring and summer. The creek behind my house got almost in the yard twice already. Very scary.
anger	I was very furious the other day when someone scratched the backend of my car.
sad	"I really got close with a girl that I met from Tinder, to the point where we were ""dating"". Then randomly, after like 4 days, she says that she doesn't want to date anymore and then just stops talking to me."
anger	I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back, I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!
fear	I was very afraid in airplane because of turbulence.
fear	When I was driving home from my first job it was snowing. I accidentally hit a curb and spun into the other lane and almost into a ditch, I was very scared
sad	I am trying to sell my house for 89k dollars, I have been in a bad financial situation, my nephew knows it, and now he is trying to buy my house just for 75k, trying to take advance of my situation 
joy	When I got the results back to all my finals for last semester of college. I thought I might fail but I passed all my classes.
fear	It's been so dry in my area lately , I'm afraid there might be some forest fires. I live near a mountain. 
anger	My friend is such a narcissist sometimes. He seems to think that he is the best looking, strongest guy ever and he constantly tries to brag about it to me and compare himself to me.
fear	When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age
anticipating	I remember waiting for the Nintendo Switch to come out, I was so excited, I still love using it every day!
sad	i was devastated when my favorite world cup team was knocked out of the tournament. 
surprise	I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!
sad	I situation in which I felt alone was when my partner left me.
fear	When I was younger my dad scared me and my brothers when we were trying to sleep, I almost wet the bed. I was very terrified
sad	When my grandmother passed away I was so sad. I was only 13 years old
disgust	There's been a big white wolf or coyote coming in my yard lately. I am afraid it will kill the neighbors cats. 
surprise	A friend of mine recently got married. I hadn't even know he was engaged!
surprise	My friend's parents are missionaries and therefore go to Africa all the time, so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years, which I really didn't expect.
sad	My dad accidentally got into rat poison and died.
